algoritmo;grupo_testes;atributos;layers;r2_validação;R²;treinamento (min);mst;mse;rmse;mae;mape;smape;geracoes;taxa_mutação;taxa_crossover;tamanho_população;
[EFS-AHP]GPT;algoritmos_evolutivos;16;0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 ;"0,785730498";"0,698331494";"527,7158333";"0,042508652";"0,009108308";"0,095437454";"0,074729853";"0,193757143";"0,153939759";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;16;1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,789971694";"0,66906255";"450,56125";"0,042508652";"0,00892802";"0,094488201";"0,072663389";"0,187741686";"0,148425604";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 ;"0,754615627";"0,725712198";"493,5678333";"0,042508652";"0,010430959";"0,102132066";"0,076806295";"0,19531069";"0,152811438";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;14;0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ;"0,774973324";"0,76521206";"523,9434167";"0,042508652";"0,009565581";"0,097803786";"0,07235885";"0,212887604";"0,141587267";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;17;0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,787555438";"0,747834452";"471,4444";"0,042508652";"0,009030732";"0,095030163";"0,068793149";"0,189402865";"0,138273131";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,800551841";"0,744956266";"525,6354833";"0,042508652";"0,008478272";"0,092077534";"0,066863551";"0,196023481";"0,130692219";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;15;0 0 0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ;"0,787372019";"0,746378616";"480,4555";"0,042508652";"0,009038529";"0,095071178";"0,0733819";"0,195124939";"0,143956886";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;11;0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 ;"0,785515987";"0,719600689";"528,7176333";"0,042508652";"0,009117426";"0,095485215";"0,07475356";"0,189589439";"0,14895287";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;10;0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,793425309";"0,730252919";"534,3350167";"0,042508652";"0,008781212";"0,093708119";"0,071577689";"0,200613681";"0,141693368";20;"0,2";"0,6";100;
[EFS-AHP]GPT;algoritmos_evolutivos;16;0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 ;"0,8003112";"0,725251974";"489,03825";"0,042508652";"0,008488502";"0,092133065";"0,069639522";"0,184439038";"0,14112151";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;36;0 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 1 1 0 1 0 1 0 1 1 0 ;"0,836558811";"0,757328647";"963,2158167";"0,042508652";"0,006947665";"0,083352652";"0,060629644";"0,176785942";"0,125975037";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;35;1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 1 1 ;"0,834242517";"0,753593616";"1025,4094";"0,042508652";"0,007046127";"0,083941212";"0,060468637";"0,17706377";"0,126528435";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;32;1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 ;"0,829874921";"0,768483137";"1013,050767";"0,042508652";"0,007231788";"0,085039919";"0,063051194";"0,178348313";"0,129827856";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;33;1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 ;"0,832937571";"0,752122916";"1012,759467";"0,042508652";"0,007101599";"0,084270983";"0,060584637";"0,17281234";"0,123212328";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;25;0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 ;"0,844386135";"0,750144974";"1031,912883";"0,042508652";"0,006614936";"0,081332254";"0,059672452";"0,174337502";"0,121868914";20;"0,2";"0,6";100;
RANDOM SEARCH;algoritmos_evolutivos;30;1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 ;"0,843550866";"0,751272423";"1134,438783";"0,042508652";"0,006650442";"0,081550241";"0,059816407";"0,170311415";"0,125685148";20;"0,2";"0,6";100;
